State,H-Index-causal-annual,H-Index-effect-annual
bond.11I_AgNatRes,1,1
bond.21H_Oil+,3,4
bond.21I_Oil+,4,4
bond.22H_Util,4,3
bond.22I_Util,3,4
bond.23H_Const,4,3
bond.23I_Const,2,1
bond.31H_ManEdible,4,3
bond.31I_ManEdible,4,4
bond.32H_ManChem,4,4
bond.32I_ManChem,4,4
bond.33H_ManElect,3,5
bond.33I_ManElect,4,5
bond.42H_WholTr,3,2
bond.42I_WholTr,2,3
bond.44H_Retail,4,3
bond.44I_Retail,3,2
bond.45H_Retail,4,3
bond.45I_Retail,3,3
bond.48H_Transport,4,4
bond.48I_Transport,3,3
bond.49I_Transport,2,3
bond.51H_Info,3,5
bond.51I_Info,3,4
bond.52H_FinIns,3,2
bond.52I_FinIns,3,4
bond.53H_RealEst,1,2
bond.53I_RealEst,3,2
bond.54H_ProfServ,3,3
bond.54I_ProfServ,3,1
bond.55H_Mgmt,1,2
bond.55I_Mgmt,2,3
bond.56H_Admin,2,3
bond.56I_Admin,1,2
bond.62H_HealthSoc,4,3
bond.62I_HealthSoc,1,2
bond.71H_R&R,5,4
bond.71I_R&R,2,3
bond.72H_Travel,3,2
bond.72I_Travel,3,2
bond.NAH_NA,4,6
bond.NAI_NA,4,2
equety.11_AgNatRes,2,3
equety.21_Oil+,3,2
equety.22_Util,3,3
equety.23_Const,3,2
equety.31_ManEdible,4,3
equety.32_ManChem,3,3
equety.33_ManElect,4,4
equety.42_WholTr,2,3
equety.44_Retail,2,3
equety.45_Retail,3,3
equety.48_Transport,4,2
equety.49_Transport,2,3
equety.51_Info,4,4
equety.52_FinIns,3,3
equety.53_RealEst,2,2
equety.54_ProfServ,3,3
equety.55_Mgmt,3,3
equety.56_Admin,2,3
equety.62_HealthSoc,4,2
equety.71_R&R,3,3
equety.72_Travel,4,4
equety.NA_NA,2,1
